epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.476,1.64129,2.72427,3.04666,1.71868,0.19292,0.27477,0.17766,0.09486,0.19555,0.29331,0.17692,0.08045,1.79849,3.34457,7.60571,2.08266,0.000414187,0.000414187,0.000414187
2,975.102,1.69655,2.56144,2.31893,1.72007,0.50417,0.24888,0.19882,0.09347,0.50395,0.24491,0.1996,0.07867,1.83564,3.79438,8.64841,1.92067,0.00082674,0.00082674,0.00082674
3,1088.21,1.72646,2.59554,2.23475,1.73345,0.66643,0.30649,0.32147,0.15631,0.66589,0.30708,0.32267,0.14382,1.79791,3.32471,3.11916,1.93401,0.00123517,0.00123517,0.00123517
4,1200.95,1.68412,2.49628,2.07218,1.69804,0.67675,0.44632,0.41401,0.20092,0.68462,0.42668,0.4301,0.20978,1.77506,2.55127,3.12912,1.97543,0.00123144,0.00123144,0.00123144
5,1313.48,1.60975,2.40381,1.94008,1.63891,0.29548,0.44287,0.33432,0.1656,0.39194,0.38211,0.33389,0.15418,1.78332,3.01701,2.22971,1.94452,0.00122525,0.00122525,0.00122525
6,1425.81,1.57663,2.33914,1.82912,1.62283,0.38895,0.49781,0.4522,0.24415,0.44018,0.55333,0.47158,0.23009,1.67343,2.35674,1.96431,1.77151,0.00121906,0.00121906,0.00121906
7,1538.42,1.53512,2.27438,1.70117,1.60588,0.62573,0.47316,0.51474,0.2682,0.57452,0.5929,0.56686,0.25895,1.60912,2.21384,2.01939,1.72811,0.00121287,0.00121287,0.00121287
8,1651.09,1.51771,2.17255,1.61205,1.57585,0.5445,0.53627,0.54898,0.31586,0.54521,0.56658,0.56214,0.29398,1.47915,2.2977,1.68011,1.67186,0.00120669,0.00120669,0.00120669
9,1763.67,1.49149,2.15546,1.54653,1.55062,0.73609,0.49582,0.52575,0.2878,0.73731,0.48788,0.55476,0.26878,1.60393,2.22271,1.58058,1.68446,0.0012005,0.0012005,0.0012005
10,1876.27,1.45343,2.09165,1.41836,1.50895,0.59554,0.48811,0.51127,0.28499,0.61359,0.51407,0.53826,0.26776,1.60307,2.15403,1.86798,1.74473,0.00119431,0.00119431,0.00119431
11,1988.89,1.41586,2.06764,1.39298,1.49723,0.4041,0.54271,0.48126,0.26382,0.4556,0.5891,0.51788,0.264,1.51841,2.13707,1.46084,1.67289,0.00118812,0.00118812,0.00118812
12,2101.25,1.37158,1.99016,1.32004,1.45459,0.63362,0.48655,0.45811,0.26279,0.45957,0.53791,0.47505,0.24464,1.51328,2.21013,1.99422,1.69496,0.00118194,0.00118194,0.00118194
13,2213.8,1.38478,2.00093,1.25681,1.46981,0.54043,0.59062,0.56156,0.29831,0.58942,0.63607,0.58841,0.30353,1.58208,2.16993,1.70651,1.69627,0.00117575,0.00117575,0.00117575
14,2326.08,1.34285,1.97278,1.24144,1.45848,0.51495,0.64697,0.58553,0.31952,0.54221,0.64596,0.59302,0.31001,1.65982,2.15898,1.35877,1.78633,0.00116956,0.00116956,0.00116956
15,2438.72,1.32784,1.92362,1.20387,1.43098,0.64087,0.61181,0.61153,0.35392,0.63218,0.69223,0.6219,0.33576,1.42942,2.12448,1.52636,1.64072,0.00116337,0.00116337,0.00116337
16,2551.4,1.31156,1.90475,1.15829,1.43158,0.48235,0.61457,0.56451,0.31962,0.51871,0.52291,0.56028,0.29158,1.4225,2.0286,1.43933,1.6098,0.00115719,0.00115719,0.00115719
17,2663.66,1.30371,1.86834,1.13831,1.42255,0.57764,0.59908,0.58207,0.32541,0.64773,0.6363,0.63067,0.31852,1.52368,2.16568,1.52421,1.72978,0.001151,0.001151,0.001151
18,2775.97,1.29026,1.86795,1.11583,1.41254,0.52081,0.6638,0.58494,0.33573,0.58055,0.64441,0.6113,0.31653,1.47981,2.24398,1.45217,1.67633,0.00114481,0.00114481,0.00114481
19,2888.36,1.27635,1.84182,1.08117,1.41279,0.65311,0.65326,0.6364,0.35573,0.68849,0.67349,0.66491,0.33764,1.53262,2.01811,1.27484,1.71662,0.00113863,0.00113863,0.00113863
20,3000.96,1.23731,1.80651,1.0143,1.39171,0.55292,0.6353,0.58045,0.35222,0.67035,0.63235,0.62992,0.33586,1.41014,2.01759,1.20072,1.61363,0.00113244,0.00113244,0.00113244
21,3113.47,1.24638,1.79396,1.02019,1.37648,0.65168,0.61851,0.64169,0.36269,0.69398,0.63927,0.66622,0.35599,1.48703,2.14302,1.13177,1.66668,0.00112625,0.00112625,0.00112625
22,3226.08,1.21106,1.76064,0.9613,1.36088,0.61522,0.66856,0.65213,0.3674,0.61048,0.65455,0.64097,0.34055,1.4494,2.07813,1.21359,1.66702,0.00112006,0.00112006,0.00112006
23,3338.28,1.21661,1.76023,0.98308,1.35781,0.47774,0.67667,0.62072,0.34191,0.69883,0.60101,0.60495,0.31581,1.49933,2.06475,1.30433,1.69291,0.00111388,0.00111388,0.00111388
24,3450.66,1.18595,1.72391,0.95066,1.34919,0.59336,0.73736,0.65887,0.37569,0.59548,0.73347,0.67227,0.35756,1.50527,2.23142,1.11617,1.73557,0.00110769,0.00110769,0.00110769
25,3563.12,1.15722,1.69519,0.9291,1.32509,0.6399,0.60783,0.63634,0.36471,0.67387,0.62103,0.63963,0.35501,1.45261,2.26339,1.14945,1.65963,0.0011015,0.0011015,0.0011015
26,3675.33,1.15,1.71087,0.86874,1.33514,0.68224,0.72243,0.68407,0.36539,0.68753,0.7267,0.67829,0.34724,1.54954,2.1553,1.27455,1.74391,0.00109531,0.00109531,0.00109531
27,3787.66,1.17929,1.69399,0.88643,1.32665,0.63707,0.66071,0.65393,0.37215,0.63471,0.65849,0.66117,0.34086,1.49016,2.04867,1.1246,1.68384,0.00108913,0.00108913,0.00108913
28,3899.91,1.12335,1.64194,0.86505,1.29382,0.61928,0.73425,0.69335,0.4017,0.63126,0.72432,0.68328,0.37619,1.55235,1.92454,1.11087,1.7212,0.00108294,0.00108294,0.00108294
29,4012.38,1.10469,1.6253,0.80763,1.27571,0.61042,0.6287,0.64206,0.35969,0.61277,0.65941,0.63152,0.33579,1.42545,1.98164,1.39256,1.64353,0.00107675,0.00107675,0.00107675
30,4124.59,1.10168,1.63057,0.82086,1.29297,0.64912,0.70501,0.67756,0.35856,0.62499,0.6863,0.65847,0.34303,1.51442,2.02563,1.14982,1.75991,0.00107056,0.00107056,0.00107056
31,4236.83,1.1175,1.631,0.8473,1.30083,0.4736,0.70281,0.59,0.35068,0.48776,0.69968,0.59356,0.32914,1.41599,2.00323,1.22603,1.60451,0.00106437,0.00106437,0.00106437
32,4348.99,1.09302,1.61003,0.82918,1.29407,0.65526,0.68471,0.6817,0.39153,0.67468,0.69572,0.69606,0.37798,1.45522,2.00648,1.1057,1.66463,0.00105819,0.00105819,0.00105819
33,4461.32,1.08964,1.60132,0.82896,1.25982,0.69077,0.65911,0.69557,0.38803,0.69077,0.65911,0.6897,0.35933,1.62136,2.20856,1.2473,1.85608,0.001052,0.001052,0.001052
34,4573.7,1.08668,1.59409,0.79205,1.25982,0.63713,0.68819,0.68081,0.39133,0.63002,0.70047,0.68249,0.36898,1.53849,1.88505,1.03873,1.75781,0.00104581,0.00104581,0.00104581
35,4685.97,1.05369,1.56116,0.76171,1.2506,0.60252,0.65332,0.61008,0.36022,0.58308,0.64424,0.59712,0.32919,1.5781,2.28686,1.34539,1.84286,0.00103962,0.00103962,0.00103962
36,4798.2,1.03913,1.55904,0.75682,1.2342,0.68611,0.71308,0.68617,0.39766,0.68611,0.71308,0.6694,0.3801,1.61434,2.22132,1.03724,1.87962,0.00103344,0.00103344,0.00103344
37,4910.54,1.03806,1.5458,0.75372,1.24197,0.58537,0.67549,0.64986,0.36402,0.60088,0.68685,0.64218,0.33342,1.65176,2.36743,1.34015,1.94667,0.00102725,0.00102725,0.00102725
38,5022.89,1.00153,1.51115,0.70978,1.20564,0.6714,0.68374,0.68351,0.38576,0.68301,0.68676,0.68822,0.36274,1.51061,2.27498,1.06388,1.73906,0.00102106,0.00102106,0.00102106
39,5135.19,1.02818,1.53544,0.7333,1.2194,0.6374,0.75394,0.65369,0.36951,0.63505,0.7094,0.63974,0.34945,1.52423,2.18278,1.10192,1.77919,0.00101488,0.00101488,0.00101488
40,5247.49,0.97937,1.47846,0.68213,1.19238,0.57884,0.7544,0.65118,0.3728,0.66031,0.65435,0.66396,0.36014,1.4594,1.99404,0.99652,1.67321,0.00100869,0.00100869,0.00100869
41,5359.71,1.00335,1.48808,0.71223,1.21419,0.62372,0.72718,0.69009,0.40119,0.62063,0.70217,0.6758,0.36805,1.48058,2.07631,1.10949,1.72966,0.0010025,0.0010025,0.0010025
42,5471.96,0.98743,1.48881,0.69284,1.2061,0.68504,0.72973,0.6988,0.40295,0.67202,0.71524,0.69662,0.36518,1.54922,2.21456,0.99424,1.79972,0.000996313,0.000996313,0.000996313
43,5584.2,0.98026,1.46857,0.68596,1.21332,0.63685,0.69074,0.66553,0.39149,0.65779,0.69512,0.67433,0.36358,1.5144,2.16707,1.01678,1.7548,0.000990125,0.000990125,0.000990125
44,5696.43,0.98374,1.48302,0.69602,1.20994,0.71805,0.69994,0.6997,0.41401,0.7147,0.69656,0.69394,0.3822,1.54987,2.11931,1.0457,1.83572,0.000983938,0.000983938,0.000983938
45,5808.91,0.93021,1.41673,0.643,1.17177,0.77568,0.71981,0.71927,0.40048,0.77568,0.71981,0.71456,0.3783,1.5975,2.50483,1.03231,1.92402,0.00097775,0.00097775,0.00097775
46,5921.27,0.95664,1.43021,0.67115,1.18232,0.61098,0.74172,0.68038,0.39657,0.62544,0.72833,0.67089,0.37251,1.50897,2.13412,1.02681,1.74492,0.000971562,0.000971562,0.000971562
47,6033.56,0.92161,1.41202,0.64591,1.16395,0.63204,0.75342,0.72226,0.42004,0.62959,0.75029,0.70957,0.37514,1.65584,2.32465,0.99438,1.98074,0.000965375,0.000965375,0.000965375
48,6146.01,0.92272,1.41028,0.64252,1.15363,0.74903,0.66895,0.67678,0.36017,0.71082,0.71936,0.70484,0.36469,1.66722,2.3469,1.05655,1.9477,0.000959187,0.000959187,0.000959187
49,6258.17,0.9173,1.38608,0.64004,1.16,0.6285,0.74266,0.67753,0.40012,0.62587,0.73912,0.66705,0.38606,1.54959,2.36999,1.04753,1.83931,0.000953,0.000953,0.000953
50,6370.28,0.9103,1.39951,0.62769,1.15047,0.59012,0.72782,0.67038,0.40477,0.60052,0.72444,0.66416,0.37409,1.51655,2.1897,1.12447,1.79296,0.000946812,0.000946812,0.000946812
51,6482.51,0.90215,1.39382,0.62715,1.14813,0.65644,0.73006,0.70647,0.40944,0.65343,0.72668,0.69546,0.38221,1.38874,2.16919,1.08008,1.66412,0.000940625,0.000940625,0.000940625
52,6594.78,0.90822,1.3864,0.6136,1.14362,0.69537,0.73898,0.69861,0.39487,0.69172,0.7356,0.69538,0.37392,1.55193,2.40812,1.06805,1.81304,0.000934438,0.000934438,0.000934438
53,6707,0.88283,1.33928,0.59917,1.13039,0.68195,0.70589,0.68797,0.39756,0.68162,0.70648,0.69004,0.36809,1.57949,2.41339,0.99358,1.90551,0.00092825,0.00092825,0.00092825
54,6819.11,0.89692,1.36544,0.60376,1.13768,0.61196,0.75273,0.66788,0.3696,0.63961,0.76071,0.67968,0.35576,1.50162,2.47951,1.0739,1.8495,0.000922063,0.000922063,0.000922063
55,6931.28,0.86004,1.32423,0.56332,1.12253,0.69478,0.71024,0.67774,0.38222,0.68794,0.70289,0.66683,0.36762,1.54817,2.56412,1.04554,1.86835,0.000915875,0.000915875,0.000915875
56,7043.34,0.87693,1.35682,0.58918,1.13441,0.66554,0.70927,0.68559,0.38061,0.65965,0.70277,0.67233,0.37145,1.58829,2.52743,1.02232,1.98241,0.000909688,0.000909688,0.000909688
57,7155.51,0.84385,1.32392,0.57468,1.11209,0.65511,0.70805,0.69538,0.3923,0.66768,0.72158,0.70396,0.38125,1.53674,2.35131,0.97396,1.81386,0.0009035,0.0009035,0.0009035
58,7267.57,0.84302,1.31303,0.57722,1.11348,0.65443,0.77433,0.69148,0.39303,0.66155,0.78256,0.70233,0.37007,1.5615,2.57878,1.00011,1.85547,0.000897313,0.000897313,0.000897313
59,7379.73,0.83408,1.29444,0.57202,1.10871,0.64172,0.75197,0.67861,0.38532,0.64543,0.75974,0.6673,0.3628,1.55996,2.6879,1.00114,1.93707,0.000891125,0.000891125,0.000891125
60,7492.3,0.84231,1.31327,0.56635,1.09645,0.71125,0.69721,0.69299,0.39111,0.69537,0.68049,0.66737,0.37376,1.51043,2.5091,1.02876,1.88692,0.000884938,0.000884938,0.000884938
61,7604.62,0.82915,1.30064,0.5507,1.09257,0.66834,0.71669,0.68205,0.39291,0.66041,0.70359,0.66838,0.37308,1.51531,2.56518,1.05538,1.91517,0.00087875,0.00087875,0.00087875
62,7716.83,0.80809,1.26942,0.52955,1.08763,0.71156,0.75784,0.73416,0.43198,0.7043,0.75134,0.72069,0.41022,1.52916,2.36023,0.92085,1.90132,0.000872563,0.000872563,0.000872563
63,7829.13,0.80447,1.27304,0.53486,1.10147,0.66326,0.7307,0.68161,0.41053,0.63667,0.76098,0.67294,0.38161,1.49006,2.45289,0.9566,1.7758,0.000866375,0.000866375,0.000866375
